ID,Tok Pisin,English
976,kamautim (kaukau),harvest (sweet potato)
977,hat,hat | hot | cap | hard | hot | heart
978,pasin birua,hatred | ill-will
979,kisim asua,have an accident
980,goapim meri | hevim seks | paulim meri | pilai wantaim meri | sutim meri | wantaim meri,have sexual intercourse with a woman
981,em,he | it | she
982,het i pen,headache
983,drai,heal (of sore) | dry
984,hiden,heathen
985,heven,heaven | sky
986,longpela bilong em,height
987,hel,hell
988,halo,hello
989,hat ain,helmet
990,hide,hide
991,haiskul,high school
992,haiwara,high tide
993,hailens | hallans,highlands
994,haiwe,highway
995,lek (bilong pik),hind leg (of Pig)
996,bilong em,his | her
997,paitim,"hit | beat, beat up"
998,nek i pas,hoarse
999,apim | haisapim | winsim,"hoist, lift up"
1000,holi,holy
1001,asples bilong mi,"home town, my"
1002,stretpela,honest | correct | straight
1003,hani,honey
1004,kokomo,hornbill bird
1005,bos bilong haus,host
1006,e hostes | hostes,hostess
1007,pasin binua,hostility
1008,hotel,hotel
1009,haus,house | hut | building | home
1010,wanhaus,house/flat mate
1011,hamas krismas yu gat?,how old are you?
1012,daunpasin,humility
1013,hangre,hungry
1014,pen,hurt | pen | paint
1015,maritman,husband
1016,man i gat tupela maus | tumaus,hypocrite
1017,aiskrim,ice-cream
1018,aisblok,iceblock
1019,sik,ill | sick
1020,pikinini bilong rot,illegitimate child
1021,stret nau,immediately
1022,bigman,important man; leader
1023,i hat moa,impossible
1024,namel long,in the middle of | among
1025,insait long,in | inside of
1026,tambu,in-laws | affines | holy
1027,antapim,increase (price)
1028,independens,independence
1029,motu,indigenous people of the Port Moresby area; language spoken by these people; one of the three nation
1030,kanaka,indigenous person
1031,sut,injection
1032,kilim,injure
1033,gumi,inner tube
1034,insait,inside
1035,long halivim,instead of
1036,nogutim | tok nogutim,insult
1037,i laikim tru,interesting
1038,paulim,interfere
1039,man i tanim tok ples,interpreter
1040,katim tok,interrupt
1041,intaviua,interviewer
1042,liva,intestines
1043,laka?,isn't it?
1044,mobeta sapos,it would be better if
1045,jek,jack
1046,jem,jam
1047,smokbalus,jet plane
1048,susap,jew's harp | jaw's harp
1049,skru,"joint | screw, bolt"
1050,kalap,jump (vb) | board (a vehicle)
1051,tasol,just | however | only | but
1052,holim pas,"keep, detain"
