mumu,ground oven
mumu,"cooking pit, ground oven"
mumuim,pressure-cook
mumut,bandicoot
mumutim,scavenge
mun,moon
mun,month
mun i godaun,moon sets
mun i kamap,moon rises
"mun i kilim, i lukim meri",menstruating
muruk,cassowary
musik or sing sing,music
mwala,decorated armlets made from cone shells used for trade in the Kula Ring islands
na,and
nabaut,around
nabaut (long),about (a place) (round)
"nain, nainpela",nine
"nainti, nainpela ten",ninety
naintifaiv,ninety-five
naip,knife
nais,pretty
nais,beautiful
nais tumas,wonderful
naispela,"nice, attractive"
nait,night
nait,evening (late)
namba,label
namba,number
namba ten,tenth
namba tri,third
namba tu,second
namba wan,very good
namba wan,first
nambaten,"terrible, tenth rate"
nambawan,first rate
nambawan,best
nambawan nogut,worst
nambis,seaside
nambis,coast (n)
nambis,beach
namel,middle
namel long,in the middle of
namel long,among
napkin,napkin
narakain,another one (different)
"narakain, narapela kain",different
narapela,another one (more)
narapela,other
nat,nut (of bolt)
nating,ordinary
nating,for no reason
"nating, not, siro",nought
natnat,gnat
"natnat, moskito",mosquito
nau,now
nek,neck
nek,voice
nek,tune
nek,throat
nek,dialect
nek i pas,hoarse
nektait,tie (n)
nem,name
nem bilong . . . i,"called, is"
nes,nurse (n)
"nidim, laikim",need
nil bilong samap,needle (n)
nildaun,kneel
nilpis,"perch, spiny fish"
nius,news
niuspepa,magazine
niuspepa,newspaper
no,not
no,or
no . . . Tasol,not at all
no gat,missing (as in not present)
no inap,unable to
no ken smok!,no smoking!
"no laikim tru, hetim",hate
"no longtaim, klosap, klostu, kwiktaim",soon
no marit,unmarried
nogat,no
nogat moni,poor (needy)
nogat!,don't!
nogut,bad
nogut,"useless, no good"
"nogutim, tok nogutim",insult
nois,noise
not,north
Novemba,November
nupela,new
nupela,fresh
nupela mun,new moon
nus,nose
"oda, odaim",order
ofisa,officer
Ogas,August
"oke, orait",okay
Oktoba,October
ol,they
ol bilas bilong ia,earrings
ol i kolim,to be called or named
ol nudal,noodles
ol pikinini bilong rop wain,grapes
ol pikinini mambu,bamboo shoots
olgeta,completely
olgeta,all
olgeta man,everybody
olgeta samting,everything
"olgeta, olgeta man",everybody
"oloboi , oloman",gee!
olpela,old (things)
olsem wanem,how
"olsem, dispela",that
"olsem, olsem long",like
oltaim,always
op tin,bottle opener
op tin,tin opener
"op, opim, i op i stap",open
opim,open (vb)
"opis, ofis",office
